postnr;navn;stormodtager
5882;Vejstrup;false
5883;Oure;false
5884;Gudme;false
5892;Gudbjerg Sydfyn;false
5900;Rudkøbing;false
5932;Humble;false
5935;Bagenkop;false
5943;Strynø;false
5953;Tranekær;false
5960;Marstal;false
5965;Birkholm;false
5970;Ærøskøbing;false
5985;Søby Ærø;false
6000;Kolding;false
6210;Barsø;false
6040;Egtved;false
6051;Almind;false
6052;Viuf;false
6064;Jordrup;false
6070;Christiansfeld;false
6091;Bjert;false
6092;Sønder Stenderup;false
6093;Sjølund;false
6094;Hejls;false
6100;Haderslev;false
6200;Aabenraa;false
6230;Rødekro;false
6240;Løgumkloster;false
6261;Bredebro;false
6270;Tønder;false
6280;Højer;false
6300;Gråsten;false
6310;Broager;false
6320;Egernsund;false
6330;Padborg;false
6340;Kruså;false
6360;Tinglev;false
6372;Bylderup-Bov;false
6392;Bolderslev;false
6400;Sønderborg;false
6430;Nordborg;false
6440;Augustenborg;false
6470;Sydals;false
6500;Vojens;false
6510;Gram;false
6520;Toftlund;false
6534;Agerskov;false
6535;Branderup J;false
6541;Bevtoft;false
6560;Sommersted;false
6580;Vamdrup;false
6600;Vejen;false
6621;Gesten;false
6622;Bække;false
6623;Vorbasse;false
6630;Rødding;false
6640;Lunderskov;false
6650;Brørup;false
6660;Lintrup;false
6670;Holsted;false
6682;Hovborg;false
6683;Føvling;false
6690;Gørding;false
6700;Esbjerg;false
6705;Esbjerg Ø;false
6710;Esbjerg V;false
6715;Esbjerg N;false
6720;Fanø;false
6731;Tjæreborg;false
6740;Bramming;false
6752;Glejbjerg;false
6753;Agerbæk;false
6760;Ribe;false
6771;Gredstedbro;false
6780;Skærbæk;false
6792;Rømø;false
6800;Varde;false
6818;Årre;false
6823;Ansager;false
6830;Nørre Nebel;false
6840;Oksbøl;false
6851;Janderup Vestj;false
6852;Billum;false
6853;Vejers Strand;false
6854;Henne;false
6855;Outrup;false
6857;Blåvand;false
6862;Tistrup;false
6870;Ølgod;false
6880;Tarm;false
6893;Hemmet;false
6900;Skjern;false
6920;Videbæk;false
6933;Kibæk;false
6940;Lem St;false
6950;Ringkøbing;false
6960;Hvide Sande;false
6971;Spjald;false
6973;Ørnhøj;false
6980;Tim;false
6990;Ulfborg;false
7000;Fredericia;false
7080;Børkop;false
7100;Vejle;false
7120;Vejle Øst;false
7130;Juelsminde;false
7140;Stouby;false
7150;Barrit;false
7160;Tørring;false
7171;Uldum;false
7173;Vonge;false
7182;Bredsten;false
7183;Randbøl;false
7184;Vandel;false
7190;Billund;false
7200;Grindsted;false
7250;Hejnsvig;false
7260;Sønder Omme;false
7270;Stakroge;false
7280;Sønder Felding;false
7300;Jelling;false
7321;Gadbjerg;false
7323;Give;false
7330;Brande;false
7361;Ejstrupholm;false
7362;Hampen;false
7400;Herning;false
7430;Ikast;false
7441;Bording;false
7442;Engesvang;false
7451;Sunds;false
7470;Karup J;false
7480;Vildbjerg;false
7490;Aulum;false
7500;Holstebro;false
7540;Haderup;false
7550;Sørvad;false
7560;Hjerm;false
7570;Vemb;false
7600;Struer;false
7620;Lemvig;false
7650;Bøvlingbjerg;false
7660;Bækmarksbro;false
7673;Harboøre;false
7680;Thyborøn;false
7700;Thisted;false
7730;Hanstholm;false
7741;Frøstrup;false
7742;Vesløs;false
7752;Snedsted;false
7755;Bedsted Thy;false
7760;Hurup Thy;false
7770;Vestervig;false
7790;Thyholm;false
7800;Skive;false
7830;Vinderup;false
7840;Højslev;false
7850;Stoholm Jyll;false
7860;Spøttrup;false
7870;Roslev;false
7884;Fur;false
7900;Nykøbing M;false
7950;Erslev;false
7960;Karby;false
7970;Redsted M;false
7980;Vils;false
7990;Øster Assels;false
8000;Aarhus C;false
8200;Aarhus N;false
8210;Aarhus V;false
8220;Brabrand;false
8230;Åbyhøj;false
8240;Risskov;false
8250;Egå;false
8260;Viby J;false
8270;Højbjerg;false
8300;Odder;false
8305;Samsø;false
8310;Tranbjerg J;false
8320;Mårslet;false
8330;Beder;false
8340;Malling;false
8350;Hundslund;false
8355;Solbjerg;false
8361;Hasselager;false
8362;Hørning;false
8370;Hadsten;false
8380;Trige;false
8381;Tilst;false
8382;Hinnerup;false
8400;Ebeltoft;false
8410;Rønde;false
8420;Knebel;false
8444;Balle;false
8450;Hammel;false
8462;Harlev J;false
8464;Galten;false
8471;Sabro;false
8472;Sporup;false
8500;Grenaa;false
8520;Lystrup;false
8530;Hjortshøj;false
8541;Skødstrup;false
8543;Hornslet;false
8544;Mørke;false
8550;Ryomgård;false
8560;Kolind;false
8570;Trustrup;false
8581;Nimtofte;false
8585;Glesborg;false
8586;Ørum Djurs;false
8592;Anholt;false
8600;Silkeborg;false
8620;Kjellerup;false
8632;Lemming;false
8641;Sorring;false
8643;Ans By;false
8653;Them;false
8654;Bryrup;false
8660;Skanderborg;false
8670;Låsby;false
8680;Ry;false
8700;Horsens;false
8721;Daugård;false
8722;Hedensted;false
8723;Løsning;false
8732;Hovedgård;false
8740;Brædstrup;false
8751;Gedved;false
8752;Østbirk;false
8762;Flemming;false
8763;Rask Mølle;false
8765;Klovborg;false
8766;Nørre Snede;false
8781;Stenderup;false
8783;Hornsyld;false
8789;Endelave;false
8799;Tunø;false
8800;Viborg;false
8830;Tjele;false
8831;Løgstrup;false
8832;Skals;false
8840;Rødkærsbro;false
8850;Bjerringbro;false
8860;Ulstrup;false
8870;Langå;false
8881;Thorsø;false
8882;Fårvang;false
8883;Gjern;false
8900;Randers C;false
8920;Randers NV;false
8930;Randers NØ;false
8940;Randers SV;false
8950;Ørsted;false
8960;Randers SØ;false
8961;Allingåbro;false
8963;Auning;false
8970;Havndal;false
8981;Spentrup;false
8983;Gjerlev J;false
8990;Fårup;false
9000;Aalborg;false
9200;Aalborg SV;false
9210;Aalborg SØ;false
9220;Aalborg Øst;false
9230;Svenstrup J;false
9240;Nibe;false
9260;Gistrup;false
9270;Klarup;false
9280;Storvorde;false
9293;Kongerslev;false
9300;Sæby;false
9310;Vodskov;false
9320;Hjallerup;false
9330;Dronninglund;false
9340;Asaa;false
9352;Dybvad;false
9362;Gandrup;false
9370;Hals;false
9380;Vestbjerg;false
9381;Sulsted;false
9382;Tylstrup;false
9400;Nørresundby;false
9430;Vadum;false
9440;Aabybro;false
9460;Brovst;false
9480;Løkken;false
9490;Pandrup;false
9492;Blokhus;false
9493;Saltum;false
9500;Hobro;false
9510;Arden;false
9520;Skørping;false
9530;Støvring;false
9541;Suldrup;false
9550;Mariager;false
9560;Hadsund;false
9574;Bælum;false
9575;Terndrup;false
9600;Aars;false
9610;Nørager;false
9620;Aalestrup;false
9631;Gedsted;false
9632;Møldrup;false
9640;Farsø;false
9670;Løgstør;false
9681;Ranum;false
9690;Fjerritslev;false
9700;Brønderslev;false
9740;Jerslev J;false
9750;Østervrå;false
9760;Vrå;false
9800;Hjørring;false
9830;Tårs;false
9850;Hirtshals;false
9870;Sindal;false
9881;Bindslev;false
9900;Frederikshavn;false
9940;Læsø;false
9970;Strandby;false
9981;Jerup;false
9982;Ålbæk;false
9990;Skagen;false
