kode;navn
100352;Meløse By, Ll. Lyngby
100353;St. Lyngby By, Ll. Lyngby
100354;Arresø, Ll. Lyngby
100551;Skævinge By, Skævinge
100651;Sigerslevøster By, Strø
100652;Strø By, Strø
100653;Strølille By, Strø
100851;Freersvang, Tjæreby
100852;Harløse By, Tjæreby
100853;Tjæreby By, Tjæreby
100854;Ullerød By, Tjæreby
100855;Æbelholtsdam, Tjæreby
100856;Æbelholtsvang, Tjæreby
101451;Freersvang, Ullerød
101452;Ullerød By, Ullerød
110851;Gadevang Huse, Nødebo
110852;Gøgehuset, Nødebo
110853;Nødebo By, Nødebo
110854;Sponneltshus, Nødebo
110855;Stenholtsvang, Nødebo
110856;Sdr. Gribskov, Nødebo
110857;Teglgård, Nødebo
110858;Ø. Strødam, Nødebo
110859;Esrum Sø, Nødebo
2000751;Hillerød Bygrunde
2000752;Hillerød Markjorder
2000753;Holmene, Hillerød Jorder
2000754;Sandviggård, Hillerød Jorder
2000755;Hillerød Overdrev
2000756;Favrholm, Hillerød Jorder
2000757;Funkevang, Hillerød Jorder
2000758;Hillerødsholm, Hillerød Jorder
2000759;Holmegård, Hillerød Jorder
2000760;Nyhuse, Hillerød Jorder
2000761;Nyvang, Hillerød Jorder
2000762;St. Dyrehave, Hillerød Jorder
2000763;Trollesminde, Hillerød Jorder
2000764;Trollesvang, Hillerød Jorder
10551;Hvidovre By, Hvidovre
12451;Hvidovre By, Strandmark
12851;Hvidovre By, Risbjerg
21851;Avedøre By, Avedøre
20751;Høje-Taastrup By, Høje-Taastrup
20752;Kragehave By, Høje-Taastrup
21251;Katrinebjerg Hgd., Sengeløse
21252;Sengeløse By, Sengeløse
21253;Vasby By, Sengeløse
21254;Vridsløsemagle By, Sengeløse
21451;Høje-Taastrup By, Taastrup Nykirke
21452;Klovtofte By, Taastrup Nykirke
21453;Taastrup-Valby By, Taastrup Nykirke
21951;Baldersbrønde By, Hedehusene
21952;Husengene, Hedehusene
21953;Kallerup Gde., Hedehusene
22251;Høje-Taastrup By, Rønnevang
22252;Taastrup-Valby By, Rønnevang
30251;Fløng By, Fløng
30252;Fløng Hede, Fløng
30253;Marbjerg By, Fløng
30254;Soderup By, Fløng
40851;Gjeddesdal Hgd., Reerslev
40852;Reerslev By, Reerslev
40853;Sterkende By, Reerslev
40854;Truelstrup Mark, Reerslev
130254;Isterød Overdrev, Blovstrød
130256;Kettinge By, Blovstrød
130257;Næbbe, Blovstrød
130260;Sjælsmark By, Blovstrød
130262;Slutterup, Blovstrød
130265;Usserød By, Blovstrød
130351;Hørsholm By, Hørsholm
130352;Mikkelborg, Hørsholm
130353;Usserød By, Hørsholm
130354;Vallerød By, Hørsholm
130751;Rungsted By, Rungsted
130752;Smidstrup By, Rungsted
130753;Vallerød By, Rungsted
20851;Ishøj By, Ishøj
20852;Tranegilde By, Ishøj
21551;Torslundemagle By, Torslunde
21552;Benzonsdal Hgd., Torslunde
2000151;Amagerbros Kvarter, København
2000152;Brønshøj, København
2000153;Christianshavns Kvarter, København
2000154;Damhussøen, København
2000155;Eksercerpladsen, København
2000156;Emdrup, København
2000157;Frihavnskvarteret, København
2000158;Frimands Kvarter, København
2000159;Husum, København
2000160;Klædebo Kvarter, København
2000161;Kongens Enghave, København
2000162;Købmager Kvarter, København
2000163;Nørre Kvarter, København
2000164;Nørrevold Kvarter, København
2000165;Rosenborg Kvarter, København
2000166;Sankt Annæ Vester Kvarter, København
2000167;Sankt Annæ Øster Kvarter, København
2000168;Snarens Kvarter, København
2000169;Strand Kvarter, København
2000170;Sundby Overdrev, København
2000171;Sundbyvester, København
2000172;Sundbyøster, København
2000173;Udenbys Klædebo Kvarter, København
2000174;Udenbys Vester Kvarter, København
2000175;Utterslev, København
2000176;Valby, København
2000177;Vanløse, København
2000178;Vester Kvarter, København
2000179;Vestervold Kvarter, København
2000180;Vigerslev, København
2000181;Øster Kvarter, København
2000182;Østervold Kvarter, København
10751;Lundtofte By, Kgs. Lyngby
10752;Kgs. Lyngby By, Kgs. Lyngby
10753;Virum By, Kgs. Lyngby
11551;Jægersborg Dyrehave, Taarbæk
11552;Taarbæk By, Taarbæk
11553;Kgs. Lyngby By, Taarbæk
11951;Lundtofte By, Lundtofte
11952;Kgs. Lyngby By, Lundtofte
11953;Virum By, Lundtofte
12151;Kgs. Lyngby By, Christians
12351;Frederiksdal, Virum
12352;Virum By, Virum
12353;Furesø, Virum
13751;Frederiksdal, Sorgenfri
13752;Virum By, Sorgenfri
11451;Holte By, Søllerød
11452;Søllerød By, Søllerød
11453;Øverød By, Søllerød
11851;Agershvile, Vedbæk
11852;Enrum, Vedbæk
11853;Frydenlund, Vedbæk
11854;Jægersborg Dyrehave, Vedbæk
11855;Nærum By, Vedbæk
11856;Trørød By, Vedbæk
11857;Trørød Skov, Vedbæk
11858;Vedbæk By, Vedbæk
13151;Dronninggård, Ny Holte
13152;Geelskov, Ny Holte
13153;Rudegård, Ny Holte
13154;Søllerød By, Ny Holte
13155;Øverød By, Ny Holte
13156;Furesø, Ny Holte
13351;Nærum By, Nærum
13352;Holte By, Nærum
13851;Holte By, Gl. Holte
13852;Nærum By, Gl. Holte
13853;Trørød By, Gl. Holte
130151;Birkerød By, Birkerød
130152;Ebberødgård, Birkerød
130153;Ravnsnæs By, Birkerød
130154;Høsterkøb By, Birkerød
130155;Isterød By, Birkerød
130156;Kajerød By, Birkerød
130157;Rude Skov, Birkerød
130158;Sandbjerg By, Birkerød
130159;Sjælsø Ejerlav, Birkerød
130160;Skovrød, Birkerød
130161;Ubberød By, Birkerød
130651;Bistrup By, Bistrup
130652;Hestkøb, Bistrup
130653;Birkerød By, Bistrup
130654;Kajerød By, Bistrup
130655;Furesø, Bistrup
11151;Rødovre By, Rødovre
12651;Islev By, Islev
13051;Rødovre By, Grøndalslund
13451;Rødovre By, Hendriksholm
10651;Kastrup By, Kastrup
10652;Maglebylille By, Kastrup
10654;Saltholm Ø, Kastrup
10655;Peberholm Ø, Kastrup
11651;Koklapperne, Tårnby
11652;Kgs. Små Enge, Tårnby
11653;Kgs. St. Enge, Tårnby
11654;Løjtegård, Tårnby
11655;Maglebylille By, Tårnby
11656;Rågård, Tårnby
11657;Skelgårde, Tårnby
11658;Tårnby By, Tårnby
11659;Tømmerup By, Tårnby
11660;Ullerup By, Tårnby
11661;Viberup By, Tårnby
14351;Kastrup By, Korsvejen
14352;Løjtegård, Korsvejen
14353;Tårnby By, Korsvejen
21651;Vallensbæk By, Vallensbæk
781451;Dengsø, V. Velling
781452;Ll. Torup, V. Velling
781453;Terp By, V. Velling
781454;V. Velling By, V. Velling
781651;Rønge By, Sdr. Vinge
781652;Ulstrup Hgd., Sdr. Vinge
781653;Vinge By, Sdr. Vinge
790151;Aidt By, Aidt
790152;Astrup By, Aidt
790153;Mondrup By, Aidt
790154;Tungelund By, Aidt
790351;Borridsø By, Gerning
790352;Danstrup By, Gerning
790353;Gerning By, Gerning
790354;Stærkær, Gerning
790355;Tind By, Gerning
790451;Bidstrup Hgd., Granslev
790452;Granslev By, Granslev
790453;Knudstrup By, Granslev
790454;Voermølle, Granslev
790455;Vrangstrup By, Granslev
790651;Frijsendal Hgd., Haurum
790652;Haurum By, Haurum
790751;Bøstrup By, Houlbjerg
790752;Hagsholm Hgd., Houlbjerg
790753;Houlbjerg By, Houlbjerg
790754;Kongstrup By, Houlbjerg
790755;Østergård Hgd., Houlbjerg
790851;Aldrup Gde., Hvorslev
790852;Amstrup By, Hvorslev
790853;Hvorslev By, Hvorslev
790854;Vidstrup By, Hvorslev
791051;Aptrup By, Sall
791052;Frijsendal Hgd., Sall
791053;Sall By, Sall
791151;Brundt By, Skjød
791152;Hasagergård, Skjød
791153;Glæsborg, Skjød
791154;Kvolbæk By, Skjød
791155;Lindgårde, Skjød
791156;Loptrup, Skjød
791157;Skjød By, Skjød
791158;Torup, Skjød
791251;Futting By, Thorsø
791252;Thorsø By, Thorsø
791351;Borre By, Vejerslev
791352;Vejerslev By, Vejerslev
791451;Enslev By, Vellev
791452;Enslev Hgd., Vellev
791453;Kovdal, Vellev
791454;Tostrup By, Vellev
791455;Vellev By, Vellev
910151;Erslev By, Nr. Galten
910152;Galten By, Nr. Galten
910153;Hinge By, Nr. Galten
910251;Hadbjerg By, Hadbjerg
910252;Kollerup Hgd., Hadbjerg
910551;Essendrup By, Laurbjerg
910552;Laurbjerg By, Laurbjerg
910553;Løjstrup Hgd., Laurbjerg
910651;Lerbjerg By, Lerbjerg
910751;Alstrupgård, Rud
910752;Drostrup Gde., Rud
910753;Hallendrup By, Rud
910754;Nielstrup By, Rud
910851;Vissing By, Vissing
910951;Hvalløs By, Voldum
910952;Clausholm Hgd., Voldum
910953;Mellemmølle, Voldum
910954;Rigtrup By, Voldum
910955;Voldum By, Voldum
911251;Astrup By, Ødum
911252;Langskov By, Ødum
