Regionskode,Regionsnavn,Kommunekode ,Kommunenavn,Ejerlavskode,Ejerlavsbetegnelse
1084,Hovedstaden,161,Glostrup Kommune,20452,"Glostrup By, Glostrup"
1084,Hovedstaden,161,Glostrup Kommune,20453,"Hvessinge By, Glostrup"
1084,Hovedstaden,270,Gribskov Kommune,110151,"Annisse By, Annisse"
1084,Hovedstaden,270,Gribskov Kommune,110152,"Huseby By, Annisse"
1084,Hovedstaden,270,Gribskov Kommune,110153,"Arresø, Annisse"
1084,Hovedstaden,270,Gribskov Kommune,110251,"Bakkebjerg By, Blistrup"
1084,Hovedstaden,270,Gribskov Kommune,110252,"Blistrup By, Blistrup"
1084,Hovedstaden,270,Gribskov Kommune,110253,"Hesselbjerg By, Blistrup"
1084,Hovedstaden,270,Gribskov Kommune,110254,"Højelt By, Blistrup"
1084,Hovedstaden,270,Gribskov Kommune,110255,"Kolsbæk By, Blistrup"
1084,Hovedstaden,270,Gribskov Kommune,110256,"Ludshøj By, Blistrup"
1084,Hovedstaden,270,Gribskov Kommune,110257,"Rågeleje, Blistrup"
1084,Hovedstaden,270,Gribskov Kommune,110258,"Smidstrup By, Blistrup"
1084,Hovedstaden,270,Gribskov Kommune,110259,"Udsholt By, Blistrup"
1084,Hovedstaden,270,Gribskov Kommune,110351,"Dronningmølle, Esbønderup"
1084,Hovedstaden,270,Gribskov Kommune,110352,"Esrumkloster, Esbønderup"
1084,Hovedstaden,270,Gribskov Kommune,110353,"Haregab, Esbønderup"
1084,Hovedstaden,270,Gribskov Kommune,110354,"Kirke Esbønderup By, Esbønderup"
1084,Hovedstaden,270,Gribskov Kommune,110355,"Ndr. Gribskov, Esbønderup"
1084,Hovedstaden,270,Gribskov Kommune,110356,"Saltrup By, Esbønderup"
1084,Hovedstaden,270,Gribskov Kommune,110357,"Villingerød By, Esbønderup"
1084,Hovedstaden,270,Gribskov Kommune,110358,"Vokstrup, Esbønderup"
1084,Hovedstaden,270,Gribskov Kommune,110359,"Øverup, Esbønderup"
1084,Hovedstaden,270,Gribskov Kommune,110360,"Esrum Sø, Esbønderup"
1084,Hovedstaden,270,Gribskov Kommune,110451,"Blakshejede, Gilleleje"
1084,Hovedstaden,270,Gribskov Kommune,110452,"Bonderup, Gilleleje"
1084,Hovedstaden,270,Gribskov Kommune,110453,"Fjellenstrup By, Gilleleje"
1084,Hovedstaden,270,Gribskov Kommune,110454,"Gilleleje By, Gilleleje"
1084,Hovedstaden,270,Gribskov Kommune,110455,"Strand Børstrup By, Gilleleje"
1084,Hovedstaden,270,Gribskov Kommune,110551,"Aggebo Skovhuse, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110552,"Alme By, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110553,"Dønnevælde By, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110554,"Græsted By, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110555,"Græsted Overdrev, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110556,"Græsted Skovhuse, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110557,"Hågendrup By, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110558,"Holt By, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110559,"Pårup By, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110560,"Pikkerhuse, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110561,"Stokkerup, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110562,"Strand Esbønderup By, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110563,"Tulstrup By, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110564,"Lopholm, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110565,"Skov Børstrup By, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110566,"Holgerskøb, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,110651,"Ammendrup By, Helsinge"
1084,Hovedstaden,270,Gribskov Kommune,110652,"Helsinge By, Helsinge"
1084,Hovedstaden,270,Gribskov Kommune,110653,"Høbjerg By, Helsinge"
1084,Hovedstaden,270,Gribskov Kommune,110654,"Høbjerg Hegn, Helsinge"
1084,Hovedstaden,270,Gribskov Kommune,110655,"Kæderup By, Helsinge"
1084,Hovedstaden,270,Gribskov Kommune,110656,"Laugø By, Helsinge"
1084,Hovedstaden,270,Gribskov Kommune,110657,"Nejlinge By, Helsinge"
1084,Hovedstaden,270,Gribskov Kommune,110658,"Ornedhus, Helsinge"
1084,Hovedstaden,270,Gribskov Kommune,110659,"Pibemølle, Helsinge"
1084,Hovedstaden,270,Gribskov Kommune,110751,"Ejlstrup By, Mårum"
1084,Hovedstaden,270,Gribskov Kommune,110752,"Harager Hegn, Mårum"
1084,Hovedstaden,270,Gribskov Kommune,110753,"Kagerup By, Mårum"
1084,Hovedstaden,270,Gribskov Kommune,110754,"Tibberup, Mårum"
1084,Hovedstaden,270,Gribskov Kommune,110755,"Mårum By, Mårum"
1084,Hovedstaden,270,Gribskov Kommune,110756,"Mårum Tinghuse, Mårum"
1084,Hovedstaden,270,Gribskov Kommune,110757,"Nellerød By, Mårum"
1084,Hovedstaden,270,Gribskov Kommune,110951,"Ågerup By, Ramløse"
1084,Hovedstaden,270,Gribskov Kommune,110952,"Ramløse By, Ramløse"
1084,Hovedstaden,270,Gribskov Kommune,110953,"Skærød By, Ramløse"
1084,Hovedstaden,270,Gribskov Kommune,110954,"Tågerup By, Ramløse"
1084,Hovedstaden,270,Gribskov Kommune,110955,"Arresø, Ramløse"
1084,Hovedstaden,270,Gribskov Kommune,111051,"Bregnerød By, Søborg"
1084,Hovedstaden,270,Gribskov Kommune,111052,"Dragstrup By, Søborg"
1084,Hovedstaden,270,Gribskov Kommune,111053,"Ferle By, Søborg"
1084,Hovedstaden,270,Gribskov Kommune,111054,"Firhøj By, Søborg"
1084,Hovedstaden,270,Gribskov Kommune,111055,"Gilleleje By, Søborg"
1084,Hovedstaden,270,Gribskov Kommune,111056,"Hesbjerg Gde., Søborg"
1084,Hovedstaden,270,Gribskov Kommune,111057,"Munkerup Gde., Søborg"
1084,Hovedstaden,270,Gribskov Kommune,111058,"Nakkehoved By, Søborg"
1084,Hovedstaden,270,Gribskov Kommune,111059,"Passebæk Gde., Søborg"
1084,Hovedstaden,270,Gribskov Kommune,111060,"Rødkilde Gde., Søborg"
1084,Hovedstaden,270,Gribskov Kommune,111061,"Søborg By, Søborg"
1084,Hovedstaden,270,Gribskov Kommune,111062,"Søborg Sø, Søborg"
1084,Hovedstaden,270,Gribskov Kommune,111151,"Tibirke By, Tibirke"
1084,Hovedstaden,270,Gribskov Kommune,111152,"Tibirke Flyvesand, Tibirke"
1084,Hovedstaden,270,Gribskov Kommune,111153,"Tisvilde By, Tibirke"
1084,Hovedstaden,270,Gribskov Kommune,111154,"Tisvildeleje, Tibirke"
1084,Hovedstaden,270,Gribskov Kommune,111155,"Arresø, Tibirke"
1084,Hovedstaden,270,Gribskov Kommune,111251,"Aggebo, Valby"
1084,Hovedstaden,270,Gribskov Kommune,111252,"Bannebjerg By, Valby"
1084,Hovedstaden,270,Gribskov Kommune,111253,"Hemmingstrup By, Valby"
1084,Hovedstaden,270,Gribskov Kommune,111254,"Mønge By, Valby"
1084,Hovedstaden,270,Gribskov Kommune,111255,"Sletelte By, Valby"
1084,Hovedstaden,270,Gribskov Kommune,111256,"Valby By, Valby"
1084,Hovedstaden,270,Gribskov Kommune,111257,"Valby Hegn, Valby"
1084,Hovedstaden,270,Gribskov Kommune,111351,"Holløse By, Vejby"
1084,Hovedstaden,270,Gribskov Kommune,111352,"Mønge By, Vejby"
1084,Hovedstaden,270,Gribskov Kommune,111353,"Rågeleje, Vejby"
1084,Hovedstaden,270,Gribskov Kommune,111354,"Unnerup By, Vejby"
1084,Hovedstaden,270,Gribskov Kommune,111355,"Vejby By, Vejby"
1084,Hovedstaden,270,Gribskov Kommune,111356,"Ørby By, Vejby"
1084,Hovedstaden,260,Halsnæs Kommune,100251,"Arresødal Hgd., Kregme"
1084,Hovedstaden,260,Halsnæs Kommune,100252,"Auderød By, Kregme"
1084,Hovedstaden,260,Halsnæs Kommune,100253,"Brederød By, Kregme"
